Protein	S0	S0	S0	S1	S1	S1	BayesFactor	FoldChange	RBstat	FDR	FLAG
P37235	-8	-11	-14	-10	-14	16	nan	0.000	nan	0.00000	*
E9PDH9	19	19	18	-14	18	-13	nan	0.000	nan	0.00000	*
Q15046-2	-17	-9	-7	-19	-11	-13	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q8WUD1	19	19	19	-16	-13	-12	nan	0.000	nan	0.00000	*
Q9UHX1	-15	-10	-9	15	-18	-22	nan	0.000	nan	0.00000	*
E9PK25	22	22	22	21	21	21	nan	0.000	nan	0.00000	*
O14737	21	20	21	28	28	28	nan	0.000	nan	0.00000	*
O43175	21	20	20	19	19	19	nan	0.000	nan	0.00000	*
O60493	20	20	20	19	-12	-12	nan	0.000	nan	0.00000	*
O60664	22	22	22	22	22	21	nan	0.000	nan	0.00000	*
O75340	-5	-8	-10	-8	17	-14	nan	0.000	nan	0.00000	*
P04632	22	22	23	21	21	21	nan	0.000	nan	0.00000	*
P04792	23	23	22	22	22	22	nan	0.000	nan	0.00000	*
P05109	-14	-11	-8	-14	-14	-7	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
P05198	19	19	20	19	19	19	nan	0.000	nan	0.00000	*
P05387	21	21	21	20	20	20	nan	0.000	nan	0.00000	*
P06733	20	19	20	-9	19	19	nan	0.000	nan	0.00000	*
P07355-2	25	25	25	24	23	24	nan	0.000	nan	0.00000	*
P07384	21	21	21	19	19	19	nan	0.000	nan	0.00000	*
P07437	24	24	24	22	22	23	nan	0.000	nan	0.00000	*
P07737	20	20	-8	19	19	19	nan	0.000	nan	0.00000	*
P07900-2	-5	-14	-15	-12	-8	-15	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
P08758	19	19	19	18	18	19	nan	0.000	nan	0.00000	*
P09211	22	22	22	22	22	21	nan	0.000	nan	0.00000	*
P09382	25	25	24	24	23	24	nan	0.000	nan	0.00000	*
P09651	19	19	19	19	19	19	nan	0.000	nan	0.00000	*
P11142	23	23	24	23	23	23	nan	0.000	nan	0.00000	*
P11586	19	20	20	-7	19	-13	nan	0.000	nan	0.00000	*
P12273	-10	-10	-10	-13	-12	-10	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
P13639	23	23	23	22	22	22	nan	0.000	nan	0.00000	*
P14174	-13	-7	-7	-7	-2	-12	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
P14618	22	22	21	21	21	21	nan	0.000	nan	0.00000	*
P17987	17	17	18	27	27	27	nan	0.000	nan	0.00000	*
P18206	21	21	19	18	19	19	nan	0.000	nan	0.00000	*
P20290	19	18	18	-11	-14	18	nan	0.000	nan	0.00000	*
P22314	-11	-9	-14	-9	16	-11	nan	0.000	nan	0.00000	*
P25398	23	23	23	23	23	23	nan	0.000	nan	0.00000	*
Q9BUQ0	19	20	20	19	18	19	nan	0.000	nan	0.00000	*
P30050	19	19	19	19	19	19	nan	0.000	nan	0.00000	*
P31151	21	20	-5	-13	-14	-11	nan	0.000	nan	0.00000	*
P31949	-6	-17	-14	-8	-10	-9	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
P35754	-9	-9	-13	-14	-6	-8	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
P46060	-7	-13	-8	-10	-10	-16	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
P48643	-10	-9	-13	-13	-9	-8	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q59H77	19	19	19	27	27	27	nan	0.000	nan	0.00000	*
P50990	22	22	22	27	28	27	nan	0.000	nan	0.00000	*
P50991	18	19	18	27	27	27	nan	0.000	nan	0.00000	*
P51148	22	22	22	21	21	21	nan	0.000	nan	0.00000	*
P51149	21	21	21	20	20	20	nan	0.000	nan	0.00000	*
P61026	21	22	-10	20	20	20	nan	0.000	nan	0.00000	*
P61088	21	21	21	20	20	20	nan	0.000	nan	0.00000	*
P61106	-13	-14	-7	-12	-11	-10	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
P61204	21	21	21	21	21	21	nan	0.000	nan	0.00000	*
P61289-2	22	22	22	21	21	21	nan	0.000	nan	0.00000	*
Q5VXS0	-5	-11	-7	-9	-9	-14	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
P62258	-9	-9	-16	-19	15	-12	nan	0.000	nan	0.00000	*
P68371	18	18	18	17	16	-12	nan	0.000	nan	0.00000	*
Q01995	21	21	22	21	21	21	nan	0.000	nan	0.00000	*
Q02413	19	19	18	-16	-11	-16	nan	0.000	nan	0.00000	*
Q06323	23	23	23	22	22	22	nan	0.000	nan	0.00000	*
Q07812-2	20	20	20	19	18	19	nan	0.000	nan	0.00000	*
Q09666	22	22	21	22	23	22	nan	0.000	nan	0.00000	*
Q12789	-7	-11	-8	-13	-14	-16	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q12955	-14	-12	-7	-9	-11	-9	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q13748	-10	-14	-12	-14	-5	17	nan	0.000	nan	0.00000	*
Q13885	-13	-6	-11	-8	-14	-8	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q14966-5	-7	-14	-13	-12	-7	-11	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q15365	24	24	24	23	23	23	nan	0.000	nan	0.00000	*
Q2NKY5	-15	-10	-14	-8	-13	16	nan	0.000	nan	0.00000	*
Q9UMY4	-7	-11	-6	-19	-13	-10	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q53GA7	-11	-11	-11	-9	-6	-15	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q53HV2	20	20	19	27	27	27	nan	0.000	nan	0.00000	*
Q549M8	19	19	18	-10	18	-8	nan	0.000	nan	0.00000	*
Q562R1	-8	-10	-18	-6	-10	-12	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q5RHS7	-12	-12	-17	-7	-8	18	nan	0.000	nan	0.00000	*
Q5T6W5	20	21	20	19	19	20	nan	0.000	nan	0.00000	*
Q5T749	20	20	20	19	19	19	nan	0.000	nan	0.00000	*
Q6FG99	20	20	20	20	20	20	nan	0.000	nan	0.00000	*
Q6GPH4-6	-15	-12	-8	-12	-13	-11	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q8IVF2	-12	-7	-17	-9	-5	-2	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q8NBJ5	-7	-15	-9	-12	-10	21	nan	0.000	nan	0.00000	*
Q96C19	-10	18	18	-15	-12	-8	nan	0.000	nan	0.00000	*
Q96FQ6	20	20	19	19	17	17	nan	0.000	nan	0.00000	*
Q99471	-8	-18	-10	-11	18	-9	nan	0.000	nan	0.00000	*
Q9BUF5	-9	-15	-14	14	-7	-8	nan	0.000	nan	0.00000	*
Q9BZK4	-9	-9	-9	-13	-12	-11	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q9C000	-11	-7	-9	-1	-8	-13	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q9HB15	-9	-6	-9	-7	-12	-13	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q9Y3D6	-9	-8	-8	17	-8	-12	nan	0.000	nan	0.00000	*
Q9Y490	22	22	22	20	21	21	nan	0.000	nan	0.00000	*
